REF_DATE,GEO,VALUE,Measure,Prescribed
2022-03,"Halifax, Nova Scotia",123.94,Amphetamine,Unprescribed
2022-04,"Halifax, Nova Scotia",100.76,Amphetamine,Unprescribed
2022-05,"Halifax, Nova Scotia",88.36,Amphetamine,Unprescribed
2022-06,"Halifax, Nova Scotia",79.28,Amphetamine,Unprescribed
2022-07,"Halifax, Nova Scotia",101.18,Amphetamine,Unprescribed
2022-08,"Halifax, Nova Scotia",73.52,Amphetamine,Unprescribed
2022-09,"Halifax, Nova Scotia",95.6,Amphetamine,Unprescribed
2022-10,"Halifax, Nova Scotia",143.44,Amphetamine,Unprescribed
2022-11,"Halifax, Nova Scotia",164.48,Amphetamine,Unprescribed
2022-12,"Halifax, Nova Scotia",94.58,Amphetamine,Unprescribed
2023-01,"Halifax, Nova Scotia",91.84,Amphetamine,Unprescribed
2023-03,"Halifax, Nova Scotia",98.1,Amphetamine,Unprescribed
2023-05,"Halifax, Nova Scotia",101.7,Amphetamine,Unprescribed
2022-03,"Halifax, Nova Scotia",758.48,Cannabis (THC-COOH),Prescribed
2022-04,"Halifax, Nova Scotia",1062.04,Cannabis (THC-COOH),Prescribed
2022-05,"Halifax, Nova Scotia",1056.56,Cannabis (THC-COOH),Prescribed
2022-06,"Halifax, Nova Scotia",1082.3,Cannabis (THC-COOH),Prescribed
2022-07,"Halifax, Nova Scotia",894.72,Cannabis (THC-COOH),Prescribed
2022-08,"Halifax, Nova Scotia",977.66,Cannabis (THC-COOH),Prescribed
2022-09,"Halifax, Nova Scotia",1155.66,Cannabis (THC-COOH),Prescribed
2022-10,"Halifax, Nova Scotia",1164.52,Cannabis (THC-COOH),Prescribed
2022-11,"Halifax, Nova Scotia",1029.2,Cannabis (THC-COOH),Prescribed
2022-12,"Halifax, Nova Scotia",967.98,Cannabis (THC-COOH),Prescribed
2023-01,"Halifax, Nova Scotia",899.04,Cannabis (THC-COOH),Prescribed
2023-03,"Halifax, Nova Scotia",1094.62,Cannabis (THC-COOH),Prescribed
2023-05,"Halifax, Nova Scotia",1023.18,Cannabis (THC-COOH),Prescribed
2022-03,"Halifax, Nova Scotia",1307.56,Cocaine (Benzoylecgonine),Unprescribed
2022-04,"Halifax, Nova Scotia",1296.06,Cocaine (Benzoylecgonine),Unprescribed
2022-05,"Halifax, Nova Scotia",1357.36,Cocaine (Benzoylecgonine),Unprescribed
2022-06,"Halifax, Nova Scotia",1305.36,Cocaine (Benzoylecgonine),Unprescribed
2022-07,"Halifax, Nova Scotia",1198.04,Cocaine (Benzoylecgonine),Unprescribed
2022-08,"Halifax, Nova Scotia",1194.32,Cocaine (Benzoylecgonine),Unprescribed
2022-09,"Halifax, Nova Scotia",1350.4,Cocaine (Benzoylecgonine),Unprescribed
2022-10,"Halifax, Nova Scotia",1282.46,Cocaine (Benzoylecgonine),Unprescribed
2022-11,"Halifax, Nova Scotia",1357.86,Cocaine (Benzoylecgonine),Unprescribed
2022-12,"Halifax, Nova Scotia",1607.14,Cocaine (Benzoylecgonine),Unprescribed
2023-01,"Halifax, Nova Scotia",1278.5,Cocaine (Benzoylecgonine),Unprescribed
2023-03,"Halifax, Nova Scotia",1411.44,Cocaine (Benzoylecgonine),Unprescribed
2023-05,"Halifax, Nova Scotia",1495.9,Cocaine (Benzoylecgonine),Unprescribed
2022-03,"Halifax, Nova Scotia",256.4,Codeine,Prescribed
2022-04,"Halifax, Nova Scotia",256.04,Codeine,Prescribed
2022-05,"Halifax, Nova Scotia",269.62,Codeine,Prescribed
2022-06,"Halifax, Nova Scotia",267.52,Codeine,Prescribed
2022-07,"Halifax, Nova Scotia",281.74,Codeine,Prescribed
2022-08,"Halifax, Nova Scotia",285.44,Codeine,Prescribed
2022-09,"Halifax, Nova Scotia",281.3,Codeine,Prescribed
2022-10,"Halifax, Nova Scotia",274.32,Codeine,Prescribed
2022-11,"Halifax, Nova Scotia",245.66,Codeine,Prescribed
2022-12,"Halifax, Nova Scotia",237.74,Codeine,Prescribed
2023-01,"Halifax, Nova Scotia",190.04,Codeine,Prescribed
2023-03,"Halifax, Nova Scotia",227.52,Codeine,Prescribed
2023-05,"Halifax, Nova Scotia",216.0,Codeine,Prescribed
2022-03,"Halifax, Nova Scotia",9.64,Ecstasy (MDMA),Unprescribed
2022-04,"Halifax, Nova Scotia",13.38,Ecstasy (MDMA),Unprescribed
2022-05,"Halifax, Nova Scotia",16.22,Ecstasy (MDMA),Unprescribed
2022-06,"Halifax, Nova Scotia",10.16,Ecstasy (MDMA),Unprescribed
2022-07,"Halifax, Nova Scotia",25.8,Ecstasy (MDMA),Unprescribed
2022-08,"Halifax, Nova Scotia",20.12,Ecstasy (MDMA),Unprescribed
2022-09,"Halifax, Nova Scotia",18.96,Ecstasy (MDMA),Unprescribed
2022-10,"Halifax, Nova Scotia",17.5,Ecstasy (MDMA),Unprescribed
2022-11,"Halifax, Nova Scotia",11.58,Ecstasy (MDMA),Unprescribed
2022-12,"Halifax, Nova Scotia",13.3,Ecstasy (MDMA),Unprescribed
2023-01,"Halifax, Nova Scotia",5.34,Ecstasy (MDMA),Unprescribed
2023-03,"Halifax, Nova Scotia",27.18,Ecstasy (MDMA),Unprescribed
2023-05,"Halifax, Nova Scotia",13.3,Ecstasy (MDMA),Unprescribed
2022-03,"Halifax, Nova Scotia",0.16,Fentanyl (Norfentanyl),Prescribed
2022-04,"Halifax, Nova Scotia",0.14,Fentanyl (Norfentanyl),Prescribed
2022-05,"Halifax, Nova Scotia",0.84,Fentanyl (Norfentanyl),Prescribed
2022-06,"Halifax, Nova Scotia",0.14,Fentanyl (Norfentanyl),Prescribed
2022-07,"Halifax, Nova Scotia",0.1,Fentanyl (Norfentanyl),Prescribed
2022-08,"Halifax, Nova Scotia",0.1,Fentanyl (Norfentanyl),Prescribed
2022-09,"Halifax, Nova Scotia",0.12,Fentanyl (Norfentanyl),Prescribed
2022-10,"Halifax, Nova Scotia",0.18,Fentanyl (Norfentanyl),Prescribed
2022-11,"Halifax, Nova Scotia",1.28,Fentanyl (Norfentanyl),Prescribed
2022-12,"Halifax, Nova Scotia",0.16,Fentanyl (Norfentanyl),Prescribed
2023-01,"Halifax, Nova Scotia",0.22,Fentanyl (Norfentanyl),Prescribed
2023-03,"Halifax, Nova Scotia",0.12,Fentanyl (Norfentanyl),Prescribed
2023-05,"Halifax, Nova Scotia",0.1,Fentanyl (Norfentanyl),Prescribed
2022-03,"Halifax, Nova Scotia",33.4,Methadone,Prescribed
2022-04,"Halifax, Nova Scotia",29.1,Methadone,Prescribed
2022-05,"Halifax, Nova Scotia",27.58,Methadone,Prescribed
2022-06,"Halifax, Nova Scotia",25.78,Methadone,Prescribed
2022-07,"Halifax, Nova Scotia",27.56,Methadone,Prescribed
2022-08,"Halifax, Nova Scotia",26.1,Methadone,Prescribed
2022-09,"Halifax, Nova Scotia",30.22,Methadone,Prescribed
2022-10,"Halifax, Nova Scotia",26.94,Methadone,Prescribed
2022-11,"Halifax, Nova Scotia",28.5,Methadone,Prescribed
2022-12,"Halifax, Nova Scotia",27.68,Methadone,Prescribed
2023-01,"Halifax, Nova Scotia",15.22,Methadone,Prescribed
2023-03,"Halifax, Nova Scotia",25.48,Methadone,Prescribed
2023-05,"Halifax, Nova Scotia",22.36,Methadone,Prescribed
2022-03,"Halifax, Nova Scotia",15.4,Methamphetamine,Unprescribed
2022-04,"Halifax, Nova Scotia",19.64,Methamphetamine,Unprescribed
2022-05,"Halifax, Nova Scotia",10.64,Methamphetamine,Unprescribed
2022-06,"Halifax, Nova Scotia",25.36,Methamphetamine,Unprescribed
2022-07,"Halifax, Nova Scotia",30.3,Methamphetamine,Unprescribed
2022-08,"Halifax, Nova Scotia",32.94,Methamphetamine,Unprescribed
2022-09,"Halifax, Nova Scotia",38.68,Methamphetamine,Unprescribed
2022-10,"Halifax, Nova Scotia",26.74,Methamphetamine,Unprescribed
2022-11,"Halifax, Nova Scotia",36.92,Methamphetamine,Unprescribed
2022-12,"Halifax, Nova Scotia",22.14,Methamphetamine,Unprescribed
2023-01,"Halifax, Nova Scotia",28.54,Methamphetamine,Unprescribed
2023-03,"Halifax, Nova Scotia",31.84,Methamphetamine,Unprescribed
2023-05,"Halifax, Nova Scotia",36.56,Methamphetamine,Unprescribed
2022-03,"Halifax, Nova Scotia",120.8,Morphine,Prescribed
2022-04,"Halifax, Nova Scotia",141.28,Morphine,Prescribed
2022-05,"Halifax, Nova Scotia",153.34,Morphine,Prescribed
2022-06,"Halifax, Nova Scotia",130.16,Morphine,Prescribed
2022-07,"Halifax, Nova Scotia",136.66,Morphine,Prescribed
2022-08,"Halifax, Nova Scotia",146.96,Morphine,Prescribed
2022-09,"Halifax, Nova Scotia",154.4,Morphine,Prescribed
2022-10,"Halifax, Nova Scotia",162.24,Morphine,Prescribed
